epoch,step,train_acc,train_loss,val_acc,val_loss
0,351,,,0.6141999959945679,1.2352195978164673
0,351,0.7027778029441833,1.110412359237671,,
1,703,,,0.7752000093460083,0.7004857659339905
1,703,0.7944222092628479,0.6607208847999573,,
2,1055,,,0.8163999915122986,0.5598037838935852
2,1055,0.8060444593429565,0.5882202982902527,,
3,1407,,,0.8258000016212463,0.5336137413978577
3,1407,0.8153555393218994,0.5540086627006531,,
4,1759,,,0.823199987411499,0.5198531746864319
4,1759,0.819266676902771,0.5337641835212708,,
5,2111,,,0.8307999968528748,0.5040905475616455
5,2111,0.8223555684089661,0.5197083950042725,,
6,2463,,,0.8299999833106995,0.49440619349479675
6,2463,0.824733316898346,0.5098161101341248,,
7,2815,,,0.8349999785423279,0.49651166796684265
7,2815,0.827311098575592,0.49888646602630615,,
8,3167,,,0.8345999717712402,0.48517704010009766
8,3167,0.8313111066818237,0.49384939670562744,,
9,3519,,,0.8370000123977661,0.4835240840911865
9,3519,0.8320222496986389,0.48745977878570557,,
10,3871,,,0.8367999792098999,0.4811016023159027
10,3871,0.833733320236206,0.48224174976348877,,
11,4223,,,0.8363999724388123,0.4758381247520447
11,4223,0.8335111141204834,0.4793339967727661,,
12,4575,,,0.8384000062942505,0.47222939133644104
12,4575,0.8333333134651184,0.47824621200561523,,
13,4927,,,0.8399999737739563,0.47275933623313904
13,4927,0.8363999724388123,0.4746549129486084,,
14,5279,,,0.8446000218391418,0.4684354066848755
14,5279,0.833311140537262,0.47318121790885925,,
15,5631,,,0.8414000272750854,0.47422412037849426
15,5631,0.8374000191688538,0.4683673679828644,,
16,5983,,,0.840399980545044,0.4601837992668152
16,5983,0.8378444314002991,0.46897342801094055,,
17,6335,,,0.8464000225067139,0.46076297760009766
17,6335,0.8388222455978394,0.46496739983558655,,
18,6687,,,0.8420000076293945,0.47265103459358215
18,6687,0.8366222381591797,0.46532973647117615,,
19,7039,,,0.8393999934196472,0.46620893478393555
19,7039,0.8368666768074036,0.46416041254997253,,
